,Name,Year,Rating
0,Pather Panchali,(1955),8.5
1,Nayakan,(1987),8.5
2,Anbe Sivam,(2003),8.5
3,Pariyerum Perumal,(2018),8.5
4,Golmaal,(1979),8.5
5,Apur Sansar,(1959),8.5
6,C/o Kancharapalem,(2018),8.5
7,Drishyam 2,(2021),8.5
8,Manichitrathazhu,(1993),8.4
9,Kireedam,(1989),8.4
10,Natsamrat,(2016),8.4
11,96,(2018),8.4
12,Black Friday,(2004),8.4
13,Thevar Magan,(1992),8.4
14,Kumbalangi Nights,(2019),8.4
15,3 Idiots,(2009),8.3
16,Visaaranai,(2015),8.3
17,Taare Zameen Par,(2007),8.3
18,Ratsasan,(2018),8.3
19,Jersey,(2019),8.3
20,Soorarai Pottru,(2020),8.3
21,Thalapathi,(1991),8.3
22,Dangal,(2016),8.3
23,Asuran,(2019),8.3
24,Devasuram,(1993),8.3
25,Aparajito,(1956),8.3
26,Kaithi,(2019),8.3
27,Jaane Bhi Do Yaaro,(1983),8.3
28,Pyaasa,(1957),8.3
29,Guide,(1965),8.3
30,Peranbu,(2018),8.3
31,Vada Chennai,(2018),8.2
32,Thani Oruvan,(2015),8.2
33,Kannathil Muthamittal,(2002),8.2
34,Chupke Chupke,(1975),8.2
35,Spadikam,(1995),8.2
36,Iruvar,(1997),8.2
37,Drishyam,(2013),8.2
38,Agent Sai Srinivasa Athreya,(2019),8.2
39,Vikram Vedha,(2017),8.2
40,Aruvi,(2016),8.2
41,Super Deluxe,(2019),8.2
42,Tumbbad,(2018),8.2
43,Mahanati,(2018),8.2
44,Khosla Ka Ghosla!,(2006),8.2
45,Anand,(1971),8.2
46,Pudhu Pettai,(2006),8.2
47,Premam,(2015),8.2
48,Kaakkaa Muttai,(2014),8.2
49,Anniyan,(2005),8.2
50,Andhadhun,(2018),8.2
51,Bangalore Days,(2014),8.2
52,Mudhalvan,(1999),8.2
53,Dhuruvangal Pathinaaru,(2016),8.2
54,Satya,(1998),8.2
55,Papanasam,(2015),8.2
56,Shahid,(2012),8.2
57,Soodhu Kavvum,(2013),8.2
58,Pithamagan,(2003),8.1
59,Jigarthanda,(2014),8.1
60,Gangs of Wasseypur,(2012),8.1
61,Sairat,(2016),8.1
62,Paan Singh Tomar,(2012),8.1
63,Bhaag Milkha Bhaag,(2013),8.1
64,Talvar,(2015),8.1
65,Hera Pheri,(2000),8.1
66,"Swades: We, the People",(2004),8.1
67,Black,(2005),8.1
68,Sholay,(1975),8.1
69,Chak De! India,(2007),8.1
70,Ustad Hotel,(2012),8.1
71,Nil Battey Sannata,(2015),8.1
72,Jo Jeeta Wohi Sikandar,(1992),8.1
73,Charulata,(1964),8.1
74,Drishyam,(2015),8.1
75,Mughal-E-Azam,(1960),8.1
76,Zindagi Na Milegi Dobara,(2011),8.1
77,Maheshinte Prathikaaram,(2016),8.1
78,Article 15,(2019),8.1
79,Udaan,(2010),8.1
80,A Wednesday,(2008),8.1
81,Queen,(2013),8.1
82,Theeran adhigaaram ondru,(2017),8.1
83,Masaan,(2015),8.1
84,Alai Payuthey,(2000),8.1
85,Sarfarosh,(1999),8.1
86,Munna Bhai M.B.B.S.,(2003),8.1
87,Roja,(1992),8.1
88,Dil Chahta Hai,(2001),8.1
89,Baasha,(1995),8.1
90,OMG: Oh My God!,(2012),8.1
91,Rang De Basanti,(2006),8.1
92,Lagaan: Once Upon a Time in India,(2001),8.1
93,Kahaani,(2012),8.1
94,Andaz Apna Apna,(1994),8.1
95,Chhichhore,(2019),8.1
96,Uri: The Surgical Strike,(2018),8.1
97,Virumandi,(2004),8.1
98,PK,(2014),8.1
99,Iqbal,(2005),8.1
100,Lucia,(2013),8.1
101,Bommarillu,(2006),8.1
102,The Legend of Bhagat Singh,(2002),8.0
103,Barfi!,(2012),8.0
104,Pink,(2016),8.0
105,Maqbool,(2003),8.0
106,Bombay,(1995),8.0
107,Omkara,(2006),8.0
108,Section 375,(2019),8.0
109,Indian,(1996),8.0
110,Lage Raho Munna Bhai,(2006),8.0
111,Deewaar,(1975),8.0
112,Pelli Choopulu,(2016),8.0
113,Pranchiyettan and the Saint,(2010),8.0
114,Thadam,(2019),8.0
115,Baahubali 2: The Conclusion,(2017),8.0
116,Padosan,(1968),8.0
117,Naduvula Konjam Pakkatha Kaanom,(2012),8.0
118,Gulaal,(2009),8.0
119,Dilwale Dulhania Le Jayenge,(1995),8.0
120,Athadu,(2005),8.0
121,Haider,(2014),8.0
122,Rangasthalam,(2018),8.0
123,Take Off,(2017),8.0
124,Ugly,(2013),8.0
125,Thondimuthalum Dhriksakshiyum,(2017),8.0
126,Padayappa,(1999),8.0
127,Mother India,(1957),8.0
128,Special Chabbis,(2013),7.9
129,Aadukalam,(2011),7.9
130,Gully Boy,(2019),7.9
131,Ship of Theseus,(2012),7.9
132,K.G.F: Chapter 1,(2018),7.9
133,Vaaranam Aayiram,(2008),7.9
134,Dev.D,(2009),7.9
135,Badhaai ho,(2018),7.9
136,Ulidavaru Kandanthe,(2014),7.9
137,Bajrangi Bhaijaan,(2015),7.9
138,Vedam,(2010),7.9
139,Jalsaghar,(1958),7.9
140,Karnan,(2021),7.9
141,Vaastav: The Reality,(1999),7.9
142,Ankhon Dekhi,(2013),7.9
143,Company,(2002),7.9
144,Deiva Thirumagal,(2011),7.9
145,Arjun Reddy,(2017),7.9
146,Mukkabaaz,(2017),7.9
147,Manjhi: The Mountain Man,(2015),7.9
148,Pizza,(2012),7.9
149,My Name Is Khan,(2010),7.9
150,Dil Bechara,(2020),7.9
151,Memories,(2013),7.9
152,Kal Ho Naa Ho,(2003),7.9
153,Jab We Met,(2007),7.9
154,Charlie,(2015),7.9
155,Mumbai Police,(2013),7.8
156,Angamaly Diaries,(2017),7.8
157,Vinnaithaandi Varuvaayaa,(2010),7.8
158,Unnaipol Oruvan,(2009),7.8
159,Border,(1997),7.8
160,Kaakha..Kaakha: The Police,(2003),7.8
161,Super 30,(2019),7.8
162,Padman,(2018),7.8
163,Dor,(2006),7.8
164,Lakshya,(2004),7.8
165,Bãhubali: The Beginning,(2015),7.8
166,Vettaiyaadu Vilaiyaadu,(2006),7.8
167,Hey Ram,(2000),7.8
168,Baby,(2015),7.8
169,Airlift,(2016),7.8
170,Okkadu,(2003),7.8
171,Hindi Medium,(2017),7.8
172,English Vinglish,(2012),7.8
173,Sonchiriya,(2019),7.8
174,Manam,(2014),7.8
175,Gangaajal,(2003),7.8
176,The Lunchbox,(2013),7.8
177,Johnny Gaddaar,(2007),7.8
178,Ab Tak Chhappan,(2004),7.8
179,Joji,(2021),7.8
180,Badla,(2019),7.8
181,Secret Superstar,(2017),7.8
182,Pokiri,(2006),7.7
183,Nayak: The Real Hero,(2001),7.7
184,Vicky Donor,(2012),7.7
185,Mr. India,(1987),7.7
186,Raazi,(2018),7.7
187,Udta Punjab,(2016),7.7
188,Don,(1978),7.7
189,Stanley Ka Dabba,(2011),7.7
190,RangiTaranga,(2015),7.7
191,M.S. Dhoni: The Untold Story,(2016),7.7
192,Goodachari,(2018),7.7
193,Rock On!!,(2008),7.7
194,Veer-Zaara,(2004),7.7
195,Ko,(2011),7.7
196,Dasvidaniya,(2008),7.7
197,Velaiilla Pattadhari,(2014),7.7
198,Aligarh,(2015),7.7
199,Arya,(2004),7.7
200,Guru,(2007),7.7
201,Samsara,(2001),7.7
202,Oye Lucky! Lucky Oye!,(2008),7.7
203,Kai po che!,(2013),7.7
204,Thuppakki,(2012),7.7
205,Kaththi,(2014),7.7
206,Mumbai Meri Jaan,(2008),7.7
207,24,(2016),7.6
208,Rockstar,(2011),7.6
209,Eega,(2012),7.6
210,Avane Srimannarayana,(2019),7.6
211,Kabhi Haan Kabhi Naa,(1994),7.6
212,Kapoor & Sons,(2016),7.6
213,Darr,(1993),7.6
214,Ugramm,(2014),7.6
215,Newton,(2017),7.6
216,Aamir,(2008),7.6
217,Earth,(1998),7.6
218,Ghilli,(2004),7.6
219,Sir,(2018),7.6
220,Agneepath,(1990),7.6
221,The Tashkent Files,(2019),7.6
222,Madras Cafe,(2013),7.6
223,Sarkar,(2005),7.6
224,Pyaar Ka Punchnama,(2011),7.6
225,Neerja,(2016),7.6
226,Bheja Fry,(2007),7.6
227,Detective Byomkesh Bakshy!,(2015),7.6
228,Highway,(2014),7.6
229,Kannum Kannum Kollaiyadithaal,(2020),7.6
230,Magadheera,(2009),7.6
231,Baazigar,(1993),7.6
232,Manorama: Six Feet Under,(2007),7.6
233,Tanu Weds Manu Returns,(2015),7.6
234,Saala Khadoos,(2016),7.6
235,Wake Up Sid,(2009),7.6
236,Piku,(2015),7.6
237,Ludo,(2020),7.6
238,1 - Nenokkadine,(2014),7.6
239,Dhruva,(2016),7.5
240,Kuch Kuch Hota Hai,(1998),7.5
241,Geetha Govindam,(2018),7.5
242,Sanju,(2018),7.5
243,Jodhaa Akbar,(2008),7.5
244,Parmanu: The Story of Pokhran,(2018),7.5
245,Delhi Belly,(2011),7.5
246,Stree,(2018),7.5
247,Trapped,(2016),7.5
248,Devdas,(2002),7.5
249,Lootcase,(2020),7.5
