,Name,Rating
0,The Shawshank Redemption,9.3
1,The Godfather,9.2
2,Soorarai Pottru,9.1
3,The Dark Knight,9.0
4,The Godfather: Part II,9.0
5,12 Angry Men,9.0
6,The Lord of the Rings: The Return of the King,8.9
7,Pulp Fiction,8.9
8,Schindler's List,8.9
9,Inception,8.8
10,Drishyam 2,8.8
11,Fight Club,8.8
12,The Lord of the Rings: The Fellowship of the Ring,8.8
13,Forrest Gump,8.8
14,"Il buono, il brutto, il cattivo",8.8
15,The Lord of the Rings: The Two Towers,8.7
16,The Matrix,8.7
17,Goodfellas,8.7
18,Star Wars: Episode V - The Empire Strikes Back,8.7
19,One Flew Over the Cuckoo's Nest,8.7
20,Gisaengchung,8.6
21,Interstellar,8.6
22,Cidade de Deus,8.6
23,Sen to Chihiro no kamikakushi,8.6
24,Saving Private Ryan,8.6
25,The Green Mile,8.6
26,La vita è bella,8.6
27,Se7en,8.6
28,The Silence of the Lambs,8.6
29,Star Wars,8.6
30,Seppuku,8.6
31,Shichinin no samurai,8.6
32,It's a Wonderful Life,8.6
33,Hamilton,8.5
34,Ratsasan,8.5
35,Whiplash,8.5
36,The Intouchables,8.5
37,The Prestige,8.5
38,The Departed,8.5
39,The Pianist,8.5
40,Gladiator,8.5
41,American History X,8.5
42,The Usual Suspects,8.5
43,Léon,8.5
44,The Lion King,8.5
45,Terminator 2: Judgment Day,8.5
46,Nuovo Cinema Paradiso,8.5
47,Hotaru no haka,8.5
48,Back to the Future,8.5
49,Once Upon a Time in the West,8.5
50,Psycho,8.5
51,Rear Window,8.5
52,Casablanca,8.5
53,Modern Times,8.5
54,City Lights,8.5
55,Capharnaüm,8.4
56,Joker,8.4
57,Ayla: The Daughter of War,8.4
58,Vikram Vedha,8.4
59,Kimi no na wa.,8.4
60,Dangal,8.4
61,Spider-Man: Into the Spider-Verse,8.4
62,Avengers: Endgame,8.4
63,Avengers: Infinity War,8.4
64,Coco,8.4
65,Django Unchained,8.4
66,The Dark Knight Rises,8.4
67,3 Idiots,8.4
68,Taare Zameen Par,8.4
69,WALL·E,8.4
70,The Lives of Others,8.4
71,Oldeuboi,8.4
72,Memento,8.4
73,Mononoke-hime,8.4
74,Once Upon a Time in America,8.4
75,Raiders of the Lost Ark,8.4
76,The Shining,8.4
77,Apocalypse Now,8.4
78,Alien,8.4
79,Tengoku to jigoku,8.4
80,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4
81,Witness for the Prosecution,8.4
82,Paths of Glory,8.4
83,Sunset Blvd.,8.4
84,The Great Dictator,8.4
85,Chhichhore,8.3
86,1917,8.3
87,Tumbbad,8.3
88,Drishyam,8.3
89,Jagten,8.3
90,Jodaeiye Nader az Simin,8.3
91,Incendies,8.3
92,Dara iz Jasenovca,8.3
93,The Father,8.3
94,Babam ve Oglum,8.3
95,Inglourious Basterds,8.3
96,Eternal Sunshine of the Spotless Mind,8.3
97,Amélie,8.3
98,Snatch,8.3
99,Requiem for a Dream,8.3
