,Title,Company,CTC,Apply Date
0,React Native Developer,Runners Planet,6.62 - 7.95 LPA,3 Jul' 21
1,Research And Communications Associate,"Institute For Governance, Policies & Politics",3 - 4.5 LPA,2 Jul' 21
2,Data Scientist,ProtonAutoML,3 - 3.5 LPA,2 Jul' 21
3,Data Science Django Developer,Markytics,3 - 4.5 LPA,2 Jul' 21
4,Corporate Sales Associate,MiM-Essay,5 - 6.5 LPA,2 Jul' 21
5,Full Stack Developer,Wondermail,4 - 7 LPA,1 Jul' 21
6,Full Stack Developer (MERN),Project Tinker,4 - 7.2 LPA,1 Jul' 21
7,Business Development Executive,Kaizen Academy,4.5 - 6 LPA,1 Jul' 21
8,Sales Development Representative,Amigobulls,5.5 - 6.5 LPA,1 Jul' 21
9,Graphic Designer,Underground Movement LLP,3 - 5 LPA,1 Jul' 21
10,Operations Executive,Alphacore Technologies Private Limited,3 - 3.5 LPA,1 Jul' 21
11,Business Development Executive,Ruhcom Enterprises Private Limited,3 LPA,1 Jul' 21
12,Admission Counselor (Sales),Sky Education Group,3 LPA,30 Jun' 21
13,Sales And Business Development Analyst,Mo's F&B Group,3 - 3.1 LPA,30 Jun' 21
14,Growth Hacking Digital Marketer,Sleep Love,3 - 3.5 LPA,30 Jun' 21
15,Junior Node.js Developer,Askadmissions.ai,3 - 4 LPA,30 Jun' 21
16,Junior Digital Marketing Executive,Krivy,3 LPA,30 Jun' 21
17,iOS App Developer,Ascentspark Software Private Limited,3.6 - 7 LPA,30 Jun' 21
18,Food Journalist,Truffle Nation,3 - 4.5 LPA,30 Jun' 21
19,Junior Software Developer,Habitate Technologies Private Limited,5.2 - 7 LPA,30 Jun' 21
20,Full Stack Developer,SoluLab,3 - 5 LPA,28 Jun' 21
21,Business Analyst,SoluLab,3 - 4.2 LPA,28 Jun' 21
22,Associate Full Stack Developer,REPOZITORY TECHNOLOGIES PRIVATE LIMITED,3 - 3.6 LPA,30 Jun' 21
23,Full Stack Engineer,Beehive Academy India,4.2 - 8.2 LPA,28 Jun' 21
24,Product Marketer,Bip,3 - 6 LPA,27 Jun' 21
25,Business Development Executive,Tabeazy,3 LPA,27 Jun' 21
26,Associate - Business Development,Leverage Edu,3.6 LPA,27 Jun' 21
27,Research Analyst (Economics),DEX-DEFT Research And Consulting OPC Private Limited,3 LPA,30 Jun' 21
28,Machine Learning Engineer,AIMonk Labs Technology Limited,5 - 6.5 LPA,27 Jun' 21
29,Business Analyst,Kasper Consulting Private Limited,3.25 - 4 LPA,26 Jun' 21
30,Business Development Executive (Inside Sales),GREedge,3.75 LPA,26 Jun' 21
31,Business Development Associate,PEPKIDZ LEARNING,3 - 4 LPA,25 Jun' 21
32,Full Stack Software Engineer,Flair Labs,3 - 4 LPA,25 Jun' 21
33,Associate Front End Developer,Little Big Things,3 - 5 LPA,25 Jun' 21
34,Talent Acquisition Executive,CrewKarma,3 - 5 LPA,24 Jun' 21
35,Full Stack Developer,Codfirm,5 - 8 LPA,24 Jun' 21
36,Backend Developer,WebMOBI,3 LPA,24 Jun' 21
37,Full Stack Developer,TMBill Software,3 LPA,24 Jun' 21
38,Junior Sales Associate,Kraftshala,4 LPA,24 Jun' 21
39,Digital Marketing Specialist,Black Jack,3 - 5 LPA,24 Jun' 21
